target_code,word,cats,pos,definition
1,가속도,물리학,명사,물체의 속도가 단위 시간당 변화하는 비율
2,가설,과학,명사,어떤 현상을 설명하기 위해 세운 임시적인 설명이나 이론
3,가치,경제/철학,명사,사물이나 행위가 인간의 욕구나 목적을 충족시키는 정도
4,각도,수학,명사,두 직선이나 평면이 만나서 이루는 벌어진 정도
5,간섭,물리학,명사,두 개 이상의 파동이 만날 때 서로의 효과가 합쳐지거나 상쇄되는 현상
6,감가상각,경제,명사,시간이 흐름에 따라 고정 자산의 가치가 감소하는 회계상의 비용
7,강화학습,컴퓨터과학,명사,환경과 상호작용하며 보상을 최대화하는 방향으로 행동을 학습하는 기계학습 방법
8,개념,철학,명사,사물이나 현상에 대한 일반적인 지식이나 이해
9,거리,수학,명사,두 점 사이의 공간적 간격
10,검색,컴퓨터과학,명사,데이터베이스나 컬렉션에서 특정 정보를 찾는 과정
11,경로,컴퓨터과학,명사,한 지점에서 다른 지점으로 이동하는 일련의 연결된 지점들
12,경사하강법,수학/AI,명사,함수의 최솟값을 찾기 위해 현재 위치에서 경사가 가장 가파른 방향으로 이동하는 최적화 알고리즘
13,경쟁우위,경제/경영,명사,기업이 경쟁자보다 우월한 지위를 갖게 하는 조건이나 능력
14,경제성장,경제,명사,일정 기간 동안 한 국가의 재화와 서비스 생산량이 증가하는 현상
15,고객만족,경영,명사,제품이나 서비스가 고객의 기대를 충족시키거나 초과하는 정도
16,공급망,경영/경제,명사,제품이나 서비스가 공급자로부터 고객에게 전달되는 전체 프로세스
17,공유경제,경제,명사,소유보다는 대여와 공유를 중심으로 하는 경제 활동 시스템
18,관성,물리학,명사,물체가 현재의 운동 상태를 유지하려는 성질
19,관용어,언어학,명사,두 개 이상의 단어가 결합하여 특별한 의미를 갖는 표현
20,광자,물리학,명사,빛의 기본 입자
21,교양,문화/교육,명사,다양한 지식과 문화적 소양을 갖춘 상태
22,구문분석,언어학/컴퓨터과학,명사,문장의 구조를 분석하여 그 문장의 의미를 파악하는 과정
23,국민총생산,경제,명사,한 국가 국민의 모든 경제적 생산 활동에 따른 총 가치
24,국제수지,경제,명사,한 국가가 다른 국가와의 경제적 거래를 통해 주고받은 금액의 차이
25,귀납법,논리학,명사,개별적인 사실이나 사례로부터 일반적 원리나 법칙을 이끌어내는 추론 방법
26,규범,사회학/윤리학,명사,사회 구성원이 따라야 할 행동 기준이나 원칙
27,그래프,수학/컴퓨터과학,명사,노드(점)와 엣지(선)로 구성된 데이터 구조나 도표
28,근력,생물학/의학,명사,근육이 수축하며 발휘하는 힘
29,기계학습,컴퓨터과학/AI,명사,명시적 프로그래밍 없이 데이터로부터 패턴을 학습하는 인공지능의 한 분야
30,기권,정치,명사,투표에서 자신의 권리를 행사하지 않는 것
31,기능성,공학/디자인,명사,제품이나 서비스가 의도된 목적을 효과적으로 수행하는 특성
32,기술혁신,경영/공학,명사,새로운 아이디어나 방법을 통해 기존의 기술을 개선하거나 새로운 기술을 창출하는 과정
33,기업가정신,경영/경제,명사,혁신과 위험을 감수하며 새로운 사업 기회를 탐색하고 개발하는 정신
34,기억력,심리학,명사,정보를 저장하고 회상할 수 있는 능력
35,기하학,수학,명사,점 선 면 공간 및 이들의 관계를 연구하는 수학의 한 분야
36,기호,언어학/문화,명사,어떤 대상이나 개념을 나타내기 위해 사용되는 문자 그림 소리 등
37,깊이우선탐색,컴퓨터과학,명사,그래프나 트리에서 가능한 한 깊이 들어가면서 탐색하는 알고리즘
38,나노기술,공학/과학,명사,나노미터(10억분의 1미터) 단위의 물질을 다루는 기술
39,난수,수학/컴퓨터과학,명사,예측할 수 없는 무작위 수
40,낙관주의,철학/심리학,명사,미래나 상황의 긍정적인 측면에 초점을 맞추는 태도나 경향
41,낙인,사회학,명사,특정 개인이나 집단에 부여되는 부정적인 사회적 라벨
42,날씨,기상학,명사,특정 시점과 장소에서의 대기 상태
43,내구성,공학/재료과학,명사,제품이 시간이 지나도 성능과 기능을 유지하는 능력
44,내재가치,경제/철학,명사,어떤 것이 그 자체로 가지는 본질적인 가치
45,네트워크,컴퓨터과학/사회학,명사,상호 연결된 시스템이나 관계의 집합
46,논리,철학,명사,올바른 추론의 원칙과 방법을 연구하는 학문
47,농업혁명,역사/농업,명사,농업 생산 방식의 근본적 변화로 인한 사회적 경제적 변화
48,뇌졸중,의학,명사,뇌 혈관이 막히거나 터져 뇌 기능에 장애가 생기는 급성 질환
49,누적분포함수,통계학,명사,확률변수가 특정 값보다 작거나 같을 확률을 나타내는 함수
50,능률,경영/경제,명사,투입 대비 산출의 효율성
51,다양성,생물학/사회학,명사,생물종이나 사회적 특성의 다양한 형태나 유형
52,다중공선성,통계학,명사,회귀분석에서 독립변수들 간에 강한 상관관계가 있는 상태
53,단백질,생물학/생화학,명사,아미노산이 연결된 고분자로 생명체의 기본 구성 요소
54,단편화,컴퓨터과학,명사,파일이나 메모리가 불연속적으로 나누어져 저장되는 현상
55,달러,경제,명사,미국의 화폐 단위
56,당뇨병,의학,명사,인슐린 분비나 작용의 이상으로 혈당 조절에 문제가 생기는 만성 질환
57,대기업,경제/경영,명사,규모가 크고 영향력이 있는 기업
58,대안,의사결정,명사,선택 가능한 다른 행동 방침이나 방법
59,대중문화,사회학/문화,명사,다수의 사람들에게 인기 있고 널리 받아들여지는 문화 요소
60,대칭성,수학/물리학,명사,대상이나 시스템이 특정 변환에 대해 불변하는 성질
61,대화형,컴퓨터과학/심리학,명사,사용자와 시스템 사이에 서로 번갈아가며 정보를 주고받는 방식
62,데이터마이닝,컴퓨터과학/통계학,명사,대량의 데이터에서 유용한 패턴이나 정보를 추출하는 과정
63,도덕적 해이,경제/윤리학,명사,위험으로부터 보호받는 상황에서 더 위험한 행동을 취하는 경향
64,도메인,컴퓨터과학,명사,특정 주제나 영역에 관련된 지식이나 활동의 범위
65,도시화,사회학/지리학,명사,인구가 농촌 지역에서 도시 지역으로 집중되는 현상
66,독과점,경제,명사,시장에서 하나 또는 소수의 기업이 지배적인 위치를 차지하는 상태
67,독립변수,통계학,명사,다른 변수(종속변수)에 영향을 미치지만 그 자체는 실험이나 연구에서 조작되는 변수
68,동기부여,심리학/경영,명사,특정 행동이나 목표를 향해 노력하도록 하는 내적 또는 외적 요인
69,동적계획법,컴퓨터과학/수학,명사,복잡한 문제를 더 작고 단순한 하위 문제로 나누어 해결하는 알고리즘 설계 기법
70,동형이의어,언어학,명사,철자는 같지만 뜻이 다른 단어
71,되먹임,물리학/공학,명사,시스템의 출력의 일부가 입력으로 다시 들어가는 과정
72,디지털화,기술/사회,명사,아날로그 정보나 프로세스를 디지털 형태로 변환하는 과정
73,라벨링,컴퓨터과학/사회학,명사,데이터나 개인에게 특정 카테고리나 특성을 할당하는 과정
74,랜덤포레스트,컴퓨터과학/통계학,명사,여러 결정 트리의 예측을 결합하는 앙상블 기계 학습 방법
75,레버리지,경제/금융,명사,대출된 자금을 사용하여 투자 수익률을 증가시키는 전략
76,링크드리스트,컴퓨터과학,명사,각 노드가 데이터와 다음 노드에 대한 참조를 포함하는 선형 데이터 구조
77,마감시간,경영/프로젝트관리,명사,작업이나 프로젝트가 완료되어야 하는 최종 기한
78,마케팅,경영/경제,명사,제품이나 서비스를 고객에게 홍보하고 판매하는 활동
79,마크업,컴퓨터과학,명사,문서의 구조나 형식을 지정하는 코드나 기호
80,만병통치약,의학/관용어,명사,모든 질병을 치료할 수 있다고 주장하는 가상의 약
81,메모리,컴퓨터과학,명사,데이터나 명령어를 저장하는 컴퓨터 하드웨어 구성 요소
82,메타데이터,컴퓨터과학/정보학,명사,다른 데이터에 대한 구조화된 정보
83,멘토링,교육/경영,명사,경험이 많은 사람이 경험이 적은 사람을 지도하고 조언하는 관계
84,면역체계,생물학/의학,명사,외부 병원체로부터 몸을 보호하는 생물학적 방어 시스템
85,명료성,커뮤니케이션/철학,명사,아이디어나 표현이 명확하고 이해하기 쉬운 상태
86,명제,논리학/철학,명사,참 또는 거짓으로 판단할 수 있는 문장
87,모듈화,컴퓨터과학/공학,명사,복잡한 시스템을 독립적이고 교체 가능한 부분으로 나누는 설계 원칙
88,모집단,통계학,명사,연구하고자 하는 개체나 사례의 전체 집합
89,목적함수,수학/최적화,명사,최적화하고자 하는 목표를 수학적으로 표현한 함수
90,무작위화,통계학/실험설계,명사,편향을 줄이기 위해 대상을 무작위로 할당하는 과정
91,무한루프,컴퓨터과학,명사,종료 조건 없이 계속해서 반복되는 코드 시퀀스
92,문맥,언어학/커뮤니케이션,명사,단어나 문장의 의미를 명확히 하는 주변 정보
93,문명,역사/사회학,명사,인간 사회의 발전된 문화와 기술적 상태
94,문제해결,심리학/교육,명사,목표를 달성하기 위해 문제를 인식하고 해결책을 찾는 과정
95,물가상승률,경제,명사,시간 경과에 따른 물가 수준의 변화율
96,물질대사,생물학,명사,생물체 내에서 일어나는 화학 반응의 총체
97,미분방정식,수학,명사,미지의 함수와 그 도함수를 포함하는 방정식
98,밀도,물리학,명사,물체의 단위 부피당 질량
99,바이러스,생물학/의학,명사,숙주 세포 내에서만 복제할 수 있는 감염성 병원체
100,반도체,물리학/공학,명사,전기 전도성이 도체와 부도체 사이인 물질
101,반응속도,화학,명사,화학 반응이 진행되는 속도
102,반증가능성,과학철학,명사,이론이나 가설이 실험이나 관찰로 반박될 수 있는 가능성
103,발견적 방법,컴퓨터과학/문제해결,명사,정확한 해결책을 보장하지는 않지만 빠르게 실용적인 해결책을 찾는 접근 방식
104,발산,수학,명사,수열이나 함수가 특정 값으로 수렴하지 않고 무한대로 커지는 특성
105,발전소,공학/에너지,명사,전기를 대규모로 생산하는 시설
106,방사선,물리학/의학,명사,에너지를 가진 입자나 파동의 형태로 방출되는 에너지
107,방어기제,심리학,명사,불안이나 위협으로부터 자아를 보호하는 심리적 과정
108,방정식,수학,명사,두 수학적 표현이 동등함을 나타내는 등식
109,배당금,경제/금융,명사,기업이 주주에게 이익의 일부를 분배하는 지급금
110,배치처리,컴퓨터과학,명사,데이터를 일정량 모아서 한 번에 처리하는 방식
111,백신,의학/생물학,명사,질병을 예방하기 위해 면역 체계를 자극하는 생물학적 제제
